State,Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total intl calls,Customer service calls,Churn
MD,120,No,Yes,39,200.3,68,4,0,False
MI,157,No,Yes,28,192.6,107,5,3,False
VT,103,No,No,0,246.5,47,4,1,False
VT,117,Yes,No,0,167.1,86,7,2,True
MI,140,No,No,0,231.9,101,6,3,False
WA,127,No,No,0,146.7,91,3,1,False
UT,83,Yes,No,0,271.5,87,4,1,False
LA,121,No,No,0,181.5,121,5,1,False
RI,145,No,Yes,43,257.7,97,4,2,False
IA,113,No,No,0,193.8,99,6,1,False
NE,117,No,No,0,102.8,119,7,1,False
OH,65,No,No,0,187.9,116,6,1,False
RI,56,No,No,0,226,112,11,1,False
OK,96,No,No,0,260.4,115,4,5,False
LA,151,No,No,0,178.7,116,4,0,False
OH,83,No,No,0,337.4,120,7,0,True
VA,139,No,Yes,23,157.6,129,2,0,False
MO,6,No,No,0,183.6,117,2,1,False
FL,115,No,Yes,24,142.1,124,4,1,False
SC,87,No,No,0,136.3,97,5,0,False
VA,141,No,No,0,217.1,110,6,0,False
IA,141,No,Yes,36,187.5,99,5,3,False
MI,62,No,No,0,98.9,103,1,1,False
OK,146,No,No,0,206.3,151,3,1,False
DE,92,No,Yes,33,243.1,92,2,2,False
GA,185,No,Yes,31,189.8,126,3,1,False
DC,148,No,No,0,202,102,3,1,False
AZ,94,No,Yes,38,170.1,124,4,1,False
AL,32,No,No,0,230.9,87,2,0,False
CO,68,No,No,0,237.1,105,2,1,False
NH,64,No,Yes,27,182.1,91,5,2,False
NM,25,No,No,0,119.3,87,4,3,False
OR,65,No,No,0,116.8,87,2,1,False
LA,179,No,No,0,219.2,92,5,0,False
NE,94,No,No,0,252.6,104,7,2,False
MN,62,No,No,0,147.1,91,3,0,False
MI,127,No,No,0,202.1,103,3,2,False
AR,116,No,No,0,173.5,93,10,3,False
KS,70,No,No,0,232.1,122,0,3,False
WV,94,Yes,Yes,23,197.1,125,5,4,False
AK,126,No,No,0,58.2,94,1,5,True
NY,67,No,Yes,36,115.6,111,12,2,False
NH,19,No,No,0,186.1,98,7,2,False
VA,170,Yes,No,0,259.9,68,3,3,False
NM,73,No,No,0,214.3,145,13,1,False
NY,106,No,No,0,158.7,74,4,1,False
AZ,93,No,No,0,271.6,71,3,2,False
WY,164,No,No,0,160.6,111,3,1,False
WA,51,No,No,0,232.4,109,3,1,False
CO,107,No,No,0,133.8,85,4,0,False
TX,130,No,No,0,176.9,109,2,1,False
KY,80,No,No,0,209.9,74,4,2,False
MT,94,No,No,0,137.5,118,2,0,False
OK,118,No,Yes,23,289.5,52,4,1,False
MD,117,No,Yes,23,198.1,86,6,1,False
TN,78,No,No,0,149.7,119,8,0,False
TX,208,No,No,0,326.5,67,6,2,True
ME,131,Yes,Yes,26,292.9,101,7,4,True
DC,63,No,No,0,83,64,3,0,False
MN,53,No,Yes,24,145.7,146,5,3,False
DE,62,No,No,0,182.3,101,1,2,False
MD,97,No,No,0,218,86,8,3,False
MI,105,No,No,0,140.6,109,3,2,False
WA,157,No,No,0,152.7,105,4,1,False
MO,66,No,Yes,36,106.7,76,2,1,False
IN,122,No,No,0,243.8,98,8,2,False
OR,38,No,No,0,194.4,94,5,3,False
MD,106,No,No,0,213.9,95,5,3,False
RI,99,No,No,0,217.2,112,7,3,False
LA,99,No,No,0,241.1,72,10,1,False
AZ,144,Yes,No,0,203.5,100,11,0,False
PA,82,No,Yes,24,155.2,131,3,1,False
AZ,86,No,Yes,31,167.6,139,6,1,False
FL,70,Yes,No,0,226.7,98,4,2,True
LA,93,No,No,0,179.3,93,6,3,False
FL,93,No,No,0,151.4,89,3,0,False
FL,120,No,No,0,180,80,7,3,False
MD,136,No,No,0,250.2,121,2,1,True
AL,106,No,No,0,223,121,12,0,False
WA,81,No,No,0,183.6,116,6,3,False
TN,127,No,Yes,22,166,114,6,1,False
MS,65,No,No,0,136.1,112,2,1,False
ME,35,No,No,0,149.3,113,6,2,False
OK,88,No,No,0,65.4,97,1,2,False
IN,65,No,No,0,213.4,111,4,1,False
MO,123,No,No,0,206.9,85,2,3,False
IA,126,No,Yes,27,186.2,78,3,2,False
VA,104,No,Yes,23,280.2,136,3,4,False
KY,45,No,Yes,22,196.6,84,3,0,False
MD,93,Yes,No,0,312,109,2,0,True
OH,63,Yes,Yes,36,199,110,6,1,False
OK,100,No,No,0,203.1,96,2,3,False
NV,53,No,No,0,168.8,97,2,0,False
ID,92,Yes,No,0,173.1,140,5,1,False
MN,139,No,No,0,134.4,106,2,5,True
SD,110,No,Yes,40,202.6,103,9,2,False
IL,110,No,No,0,74.5,117,7,3,False
WY,215,No,No,0,83.6,148,9,0,False
AL,73,No,No,0,192.2,86,6,1,False
NJ,138,No,No,0,220.2,89,5,0,False
NV,137,Yes,No,0,135.1,95,2,2,True
IN,36,No,No,0,253.4,77,2,1,False
WV,85,No,No,0,225,81,2,3,False
VA,108,No,No,0,198.5,99,3,0,True
SC,22,No,No,0,110.3,107,5,0,False
RI,107,No,Yes,37,60,102,3,0,False
IN,51,No,No,0,214.8,94,5,0,False
AZ,94,No,No,0,181.8,85,2,4,False
NM,119,No,Yes,23,154,114,4,2,False
OR,33,No,Yes,29,157.4,99,11,4,True
NJ,106,No,No,0,207.9,91,7,4,False
MS,82,No,No,0,207,90,8,3,False
MI,86,No,Yes,41,119,101,3,0,False
TX,97,Yes,No,0,143.7,117,3,0,False
FL,106,No,Yes,32,165.9,126,8,4,False
DC,108,No,No,0,138.6,122,3,1,False
TX,114,No,No,0,84.7,118,8,1,False
KS,92,Yes,No,0,62.6,111,2,1,True
UT,59,No,No,0,155.2,79,4,1,False
MN,24,No,Yes,25,164.9,110,9,1,False
IL,151,No,No,0,134.5,88,1,1,False
NM,117,No,No,0,143.3,103,3,1,False
SC,78,No,No,0,168.3,110,1,1,False
NC,155,No,No,0,262.4,55,6,2,False
WV,114,No,Yes,30,206.2,79,6,1,False
RI,114,No,Yes,28,225.8,94,9,4,False
NH,119,No,No,0,138.3,89,6,3,False
MO,64,No,Yes,48,94.4,104,4,0,False
MA,118,Yes,No,0,160,123,3,2,False
PA,101,No,No,0,206.6,105,3,0,False
OK,117,No,No,0,134.7,121,3,1,False
AL,49,No,Yes,28,214.4,78,13,3,False
WY,139,No,No,0,192.8,104,3,3,False
PA,92,No,Yes,28,151.1,90,3,1,False
WA,83,No,No,0,221.4,103,5,3,False
HI,148,Yes,No,0,218.9,88,4,0,False
SD,144,No,Yes,48,189.8,96,2,2,True
AL,131,No,Yes,25,192.7,85,6,2,False
VT,146,Yes,No,0,204.4,135,6,3,False
MT,143,No,No,0,172.3,97,4,2,False
MN,81,No,No,0,198.4,93,6,2,False
AK,48,No,Yes,37,211.7,115,1,1,False
MI,86,No,Yes,28,221.6,74,2,1,False
DE,71,No,No,0,197.9,108,5,3,False
SD,145,No,Yes,24,147.5,90,3,2,False
MI,137,No,No,0,206.4,122,5,2,False
KS,137,No,No,0,205.9,88,4,2,False
AL,167,No,No,0,207.6,88,5,0,False
OK,89,No,No,0,303.9,95,3,1,True
CT,199,No,Yes,34,230.6,121,2,0,False
NE,132,No,No,0,99.5,110,3,0,False
WI,94,No,No,0,177.1,112,4,1,False
CT,96,No,Yes,37,172.7,93,5,5,True
WI,96,No,Yes,18,172.7,86,3,1,False
IN,166,No,No,0,204.2,115,5,1,False
DC,74,No,No,0,85.7,83,5,2,False
AR,36,No,No,0,157.6,117,1,0,False
ME,113,No,No,0,215.5,129,9,4,False
MN,94,No,No,0,181.5,98,5,1,False
MD,67,No,No,0,171.7,80,4,2,False
FL,127,No,No,0,266.6,106,2,1,True
RI,121,No,No,0,170.4,108,3,0,True
IA,158,No,No,0,158,106,4,1,False
AZ,136,No,No,0,92,117,10,1,False
MO,196,No,No,0,234,109,5,2,False
VT,113,No,No,0,272.1,111,10,1,True
IN,122,No,No,0,296.4,99,3,4,True
RI,112,No,No,0,194.4,101,2,0,False
SD,209,No,No,0,227.2,128,4,3,False
MN,62,No,No,0,248.7,109,2,1,True
TX,110,No,Yes,38,236.3,102,6,1,False
VA,16,No,No,0,205.6,69,3,0,False
MA,73,No,No,0,94.1,136,4,0,False
ID,128,No,No,0,125.2,99,2,0,False
MA,39,No,No,0,60.4,158,3,1,False
GA,103,No,Yes,28,121,105,4,2,False
RI,119,No,Yes,29,117.8,66,3,3,False
ID,173,No,Yes,21,232.4,96,5,3,False
SD,128,Yes,Yes,32,223.5,81,2,2,True
MA,86,No,No,0,176.3,79,3,0,False
WY,114,No,Yes,32,125.2,79,3,1,False
VA,104,No,No,0,138.7,107,3,0,False
OR,148,No,No,0,86.3,134,4,1,False
VA,129,No,No,0,207,91,5,3,False
ME,100,No,Yes,30,58.8,104,3,0,False
AL,121,No,Yes,35,68.7,95,4,1,False
GA,143,No,Yes,33,239.2,109,4,1,False
IA,76,No,No,0,198.3,130,3,0,False
AZ,158,No,No,0,205.2,97,12,0,False
FL,116,No,No,0,192.1,98,2,3,False
MT,54,No,No,0,272.6,83,2,1,True
AL,86,No,No,0,128.3,121,5,7,True
DE,108,No,No,0,169.6,99,4,0,False
MT,66,No,No,0,201.3,95,4,1,False
KY,151,No,Yes,17,214.7,97,4,1,False
SC,99,No,No,0,169.2,70,2,0,False
WA,55,No,No,0,194.1,121,7,2,False
OR,77,No,No,0,233.8,104,3,2,False
AK,78,No,No,0,225.1,67,2,0,False
GA,89,No,No,0,213,63,1,1,True
MN,101,No,No,0,183.9,115,11,1,False
IL,44,No,Yes,34,221.8,105,7,0,False
IN,98,No,Yes,21,64.6,98,0,2,False
SC,64,No,Yes,37,154.6,92,3,1,False
VA,141,No,No,0,260.2,131,8,3,False
WI,81,No,Yes,33,161.6,117,5,1,False
VT,162,No,No,0,220.6,117,11,1,False
AZ,83,No,Yes,41,155.9,122,5,3,False
FL,100,No,No,0,107,63,3,4,True
AK,59,No,No,0,182.5,104,8,4,False
AR,179,Yes,Yes,38,220.1,78,4,4,False
AR,79,No,No,0,152.2,112,3,1,False
AK,117,No,No,0,181.5,95,9,2,False
MS,64,Yes,No,0,236.2,77,2,2,True
ME,31,No,No,0,166.1,105,2,1,False
CA,124,Yes,No,0,244.6,89,4,1,False
NM,122,No,Yes,23,134.2,85,2,2,False
NE,37,Yes,Yes,39,149.7,122,4,1,False
SC,90,No,Yes,29,150.1,109,4,1,False
CO,159,Yes,No,0,257.1,53,6,1,True
DE,148,No,No,0,124.4,83,6,0,False
OH,39,No,Yes,36,141.7,121,5,1,False
MS,77,No,No,0,230,87,3,2,False
OK,194,No,No,0,162.3,88,2,0,False
CO,154,No,No,0,350.8,75,9,1,True
NC,112,No,No,0,193.3,96,3,4,False
MD,45,No,No,0,78.2,127,3,1,False
KS,132,No,No,0,83.4,110,5,1,False
MA,128,No,No,0,195.6,99,2,0,False
NC,135,No,No,0,201.8,81,6,1,False
NM,56,No,No,0,197,110,6,2,False
CA,151,Yes,No,0,218,57,1,0,True
NY,32,No,No,0,164.8,98,2,2,False
AZ,90,No,No,0,179.2,77,6,2,False
SD,87,No,Yes,21,214,113,5,0,False
DC,138,No,No,0,170.5,87,7,2,False
ND,79,No,No,0,205.7,123,18,1,False
MO,95,Yes,No,0,165.5,84,2,1,True
KS,127,No,No,0,221,100,4,2,False
SD,137,No,No,0,242.1,118,2,3,False
OK,97,No,No,0,151.6,107,4,1,False
OR,149,Yes,No,0,176.2,87,4,0,False
IN,117,Yes,Yes,22,196,82,5,1,False
OH,84,No,No,0,159.5,125,4,2,False
KS,137,No,No,0,230.2,113,7,4,False
CT,99,No,No,0,146.7,64,1,3,False
NH,54,No,No,0,210.5,102,5,1,False
WI,85,No,No,0,102,95,3,1,False
MS,150,No,No,0,126,99,6,3,False
WV,43,No,No,0,168.4,125,2,1,False
MA,35,No,No,0,105.6,129,3,0,False
MD,98,No,No,0,206.5,92,5,5,False
PA,112,No,No,0,217.1,76,3,2,False
WI,16,No,No,0,229.6,78,2,0,True
TN,98,No,Yes,22,278.3,89,5,0,False
TX,84,No,No,0,138.6,102,4,0,False
OR,94,No,No,0,234.4,103,2,1,True
IL,84,No,No,0,181.5,129,4,1,False
DC,66,No,No,0,167.3,91,5,1,True
GA,98,No,Yes,31,121,105,1,1,False
ID,74,No,No,0,221.1,124,3,0,False
UT,96,No,Yes,26,145.8,108,2,1,False
KY,119,No,No,0,222.8,122,6,1,False
OH,73,No,No,0,183.4,80,3,4,False
WI,92,Yes,No,0,264.3,91,5,0,False
IL,21,No,No,0,146,78,7,0,False
DE,122,No,No,0,157.1,134,5,4,True
RI,133,Yes,No,0,127.3,108,3,1,False
TX,145,No,No,0,187.9,110,4,2,False
OR,25,No,No,0,178.8,90,5,2,False
NV,64,No,No,0,97.2,80,6,2,False
NE,85,No,No,0,259.8,85,1,0,False
MS,126,No,No,0,256.5,112,5,3,False
OR,76,No,No,0,169.5,77,3,0,False
DE,113,No,No,0,239.7,47,3,2,True
DE,224,Yes,No,0,171.5,99,2,1,True
AZ,117,No,No,0,239.9,84,2,0,False
SD,128,No,Yes,34,142.3,73,6,1,False
NV,115,No,No,0,184.1,98,6,2,False
NM,141,No,Yes,28,206.9,126,11,2,False
MN,51,No,No,0,259.9,114,1,1,False
NJ,100,No,No,0,203.8,122,3,0,False
IN,96,No,Yes,45,248.8,124,2,3,False
DC,112,No,Yes,16,221.6,110,3,1,False
MA,129,Yes,No,0,192.9,131,4,1,False
ME,163,No,No,0,122.4,129,7,1,False
NH,67,No,Yes,40,104.9,65,9,1,False
AZ,140,No,No,0,173.2,91,5,3,False
OR,49,No,No,0,119.4,69,7,2,False
KS,46,No,No,0,250.3,100,2,2,True
NE,148,No,No,0,178.3,98,4,1,False
MI,112,No,No,0,243.4,77,2,1,False
SC,78,No,No,0,155,106,5,2,False
PA,61,No,Yes,31,288.7,101,3,0,False
MT,58,No,Yes,29,240.4,80,3,1,False
NM,155,No,No,0,190.3,123,3,1,False
OH,100,No,No,0,278,76,4,0,True
WY,113,No,No,0,155,93,3,1,False
MI,81,No,No,0,153.5,99,2,2,False
AR,135,No,Yes,27,273.4,141,6,1,False
FL,99,No,No,0,155.3,93,4,0,False
AR,59,No,Yes,29,133.1,114,3,1,False
MO,135,No,No,0,246.8,129,5,1,False
WI,85,Yes,No,0,165.4,107,7,2,False
TX,70,No,No,0,59.5,103,6,0,False
TX,88,No,No,0,138.3,116,4,3,False
NM,55,No,No,0,286.7,100,5,2,False
GA,75,No,No,0,117.3,114,3,1,False
ID,79,No,Yes,21,264.3,79,3,4,False
AL,85,No,No,0,127.9,107,5,0,False
KS,86,No,Yes,23,225.5,107,2,0,False
SD,91,No,No,0,149,115,3,0,False
LA,149,No,Yes,20,198.9,77,9,1,False
OH,97,No,No,0,256.4,125,1,1,True
MA,88,No,No,0,264.8,124,2,1,True
AZ,60,No,No,0,98.2,88,2,2,False
KY,54,No,No,0,159.8,99,7,2,False
DC,11,No,Yes,28,190.6,86,3,3,False
WA,109,No,No,0,184,120,3,0,False
UT,90,No,No,0,261.8,128,5,1,False
RI,115,No,No,0,147.9,109,9,3,False
OH,144,No,Yes,18,106.4,109,5,1,False
NV,91,No,No,0,133.7,75,2,0,False
ND,105,No,Yes,23,193.5,85,5,0,False
NV,71,Yes,No,0,178.2,113,3,3,True
FL,132,No,Yes,36,226.2,103,5,3,True
MD,112,No,No,0,170.4,103,4,1,False
AZ,86,No,Yes,32,70.9,163,5,3,False
AL,41,No,Yes,34,194.4,63,9,2,False
NE,44,No,No,0,240.3,146,2,1,False
NV,78,No,No,0,75,116,6,3,False
IL,149,No,No,0,69.1,117,3,1,False
WV,72,No,Yes,33,96.6,59,4,4,True
MI,139,No,Yes,20,214.6,101,12,0,False
AR,74,No,No,0,148.5,111,6,3,False
UT,50,No,No,0,258.1,106,5,1,False
GA,141,No,Yes,23,149.7,112,2,3,False
AZ,140,No,No,0,149.8,134,2,1,False
ID,99,No,No,0,190.4,102,4,2,False
HI,166,No,No,0,181.4,108,6,1,False
NV,124,No,No,0,151.1,123,3,1,False
MD,74,No,No,0,155.7,116,4,0,False
GA,117,No,No,0,149.9,95,13,2,False
GA,85,No,No,0,222.3,132,2,3,False
UT,36,No,Yes,16,149.4,111,2,0,False
MA,102,Yes,No,0,233.8,103,3,0,False
IN,76,No,No,0,204.2,100,2,0,False
VT,165,No,No,0,242.9,126,0,1,False
IA,130,No,No,0,150.4,119,4,1,False
IN,78,No,No,0,208.9,119,7,0,False
AL,55,Yes,No,0,191.9,91,6,1,True
ME,92,Yes,No,0,130.7,113,2,2,True
RI,129,No,Yes,33,119.6,104,2,2,False
MD,18,No,No,0,273.6,93,4,1,False
FL,161,Yes,No,0,156.1,114,9,2,False
CA,93,No,Yes,36,178.7,134,4,2,False
AL,144,No,No,0,177.5,93,3,2,False
ME,75,Yes,No,0,211.3,61,4,4,True
WV,95,No,No,0,175.2,91,2,1,False
SD,126,No,Yes,23,114.3,102,7,3,False
FL,124,No,Yes,28,251.4,104,5,1,False
MI,93,Yes,No,0,216.9,61,5,1,True
MI,109,Yes,Yes,26,217.2,138,3,0,False
NM,80,No,No,0,206.3,97,12,0,False
AK,41,No,No,0,159.3,66,5,1,False
OH,136,No,Yes,31,143.1,88,5,2,False
MO,92,No,No,0,154,122,2,3,True
KS,143,No,Yes,24,186.6,69,5,1,False
MS,118,No,Yes,26,170.8,114,5,5,True
VT,193,No,Yes,17,124,102,3,1,False
NE,73,No,No,0,198.3,94,8,3,False
VA,62,No,No,0,172.8,101,8,2,False
DE,30,No,Yes,30,217.4,74,3,0,False
AL,60,Yes,Yes,29,265.9,113,12,0,True
ID,148,No,Yes,14,93.6,137,5,1,False
MS,96,No,No,0,98.2,100,1,2,False
OK,52,No,No,0,214.7,68,4,2,False
NM,87,No,No,0,168.2,92,3,1,False
WI,41,No,No,0,202.9,97,3,3,False
WV,112,No,No,0,261.4,108,2,1,False
SC,88,No,No,0,73.3,86,3,4,True
KY,122,No,Yes,27,253.7,84,5,7,False
MO,61,No,No,0,45,108,6,2,False
IL,87,No,No,0,231.3,105,6,1,False
OK,176,No,No,0,47.4,125,8,2,False
MI,30,No,No,0,227.4,88,3,0,False
NJ,95,No,Yes,22,40.9,126,7,0,False
ID,46,No,No,0,124.8,133,4,2,False
DC,100,Yes,No,0,68.5,110,9,0,False
NY,47,No,Yes,37,163.5,77,4,2,False
AL,77,No,No,0,163,112,3,2,False
OR,98,No,Yes,38,213.7,61,5,2,False
OK,125,No,Yes,36,201.3,117,3,1,False
LA,67,No,No,0,310.4,97,10,4,False
NE,194,No,No,0,48.4,101,1,1,False
TX,128,No,Yes,40,171.2,88,6,1,False
UT,190,No,Yes,22,166.5,93,3,0,False
OR,165,No,No,0,216.6,126,8,0,False
NY,59,No,No,0,107.8,113,3,2,False
AL,47,No,Yes,28,141.3,94,2,1,False
RI,150,No,Yes,29,209.9,77,1,0,False
MN,152,Yes,Yes,20,237.5,120,3,9,True
NC,26,No,No,0,234.5,109,6,3,False
MD,79,No,Yes,31,103.1,90,8,3,False
RI,95,No,Yes,27,129.5,106,3,1,False
WI,69,Yes,No,0,279.8,90,10,2,True
VT,95,Yes,Yes,41,136.8,91,9,5,True
CT,31,No,Yes,31,100.1,54,3,0,False
OK,121,No,Yes,31,237.1,63,5,4,False
AK,111,No,No,0,172.8,58,3,4,True
NY,157,No,No,0,224.5,111,2,2,False
GA,44,No,No,0,288.1,112,4,3,True
UT,61,Yes,No,0,78.2,103,6,2,False
NM,65,No,No,0,148.7,80,6,2,False
NE,74,No,Yes,25,194.6,84,2,2,False
NJ,123,No,No,0,159.5,77,4,0,False
TX,58,No,Yes,20,194.5,110,2,1,False
MT,74,No,No,0,174.1,96,5,2,True
CO,125,No,No,0,131.8,97,6,2,False
VT,80,No,No,0,160.6,103,1,1,False
RI,53,No,Yes,18,146.8,107,7,0,False
WY,99,No,Yes,28,200.7,88,5,1,False
ID,99,No,No,0,145.6,106,5,1,False
CT,66,No,Yes,29,229.4,104,1,2,False
ME,97,No,No,0,211,76,4,3,False
AZ,75,No,Yes,37,121.5,97,5,2,False
MD,85,Yes,No,0,216,73,7,2,False
IN,108,No,No,0,293,88,6,2,False
NC,133,Yes,Yes,32,221.1,137,4,2,True
DE,51,No,No,0,181.5,108,2,1,False
MN,186,No,Yes,26,74.3,107,3,2,False
WI,44,Yes,No,0,62.3,92,3,1,False
FL,64,No,Yes,31,228.6,88,1,3,False
WV,44,No,No,0,228.1,121,5,2,True
SD,114,No,Yes,36,309.9,90,2,1,False
FL,92,No,No,0,201.9,74,6,3,False
OR,110,No,No,0,149.8,112,4,2,False
CO,90,No,Yes,30,183.8,76,3,1,False
CT,72,No,Yes,21,186.7,108,4,1,False
IN,113,No,No,0,209.4,151,2,1,True
PA,171,No,Yes,25,223.2,77,3,3,False
NM,104,No,No,0,164.2,109,8,1,False
ME,165,No,No,0,150.5,75,2,1,False
SD,104,No,No,0,234.2,128,6,0,True
AR,110,No,No,0,55.3,102,5,1,False
TX,90,Yes,No,0,221.8,97,4,1,False
