ID Movimiento;ID Orden;Fecha Orden;Prioridad;SKU;Margen base;Cantidad Pedida;Precio por Unidad;Descuento;ID Cliente
7540;53894;07/07/2009;Critical;18;0,68;37;71,37;0,04;33
6953;49730;04/01/2009;Alto;1034;0,61;3;350,98;0,06;34
6122;43362;12/01/2009;Critical;1034;0,61;45;350,98;0,03;19
3950;28161;15/06/2009;No Especificado;1034;0,61;15;350,98;0,06;35
1417;10277;07/04/2009;Medio;19;0,59;36;65,99;0;36
1193;8710;04/01/2009;Critical;287;0,4;17;3,36;0,03;37
5394;38341;18/05/2009;Medio;287;0,4;15;3,36;0,1;38
1194;8710;04/01/2009;Critical;894;0,35;42;3,71;0,07;37
8011;57253;05/01/2009;Critical;207;0,58;43;1,81;0,08;39
5920;41988;04/02/2009;Bajo;207;0,58;18;33,94;0,07;40
6044;42851;01/06/2009;Alto;22;0,8;4;4,71;0,05;41
8012;57253;05/01/2009;Critical;146;0,64;29;20,98;0,06;39
4600;32800;21/01/2009;No Especificado;146;0,64;33;355,98;0,04;27
2296;16547;18/02/2009;No Especificado;146;0,64;30;355,98;0,09;42
1358;9894;18/03/2009;Alto;146;0,64;16;355,98;0,08;43
7464;53281;02/04/2009;Critical;146;0,64;40;355,98;0,08;44
6199;43909;07/01/2009;Alto;23;0,37;46;15,99;0,08;45
1293;9476;25/05/2009;No Especificado;23;0,37;10;15,99;0,08;46
3945;28130;30/07/2009;Bajo;23;0,37;23;15,99;0,02;47
8013;57253;05/01/2009;Critical;222;0,6;48;279,48;0,07;39
6200;43911;14/01/2009;Medio;222;0,6;29;19,99;0,06;48
7450;53152;05/03/2009;Medio;222;0,6;9;19,99;0,01;49
1107;8132;14/05/2009;Bajo;24;0,66;46;4,89;0,08;50
8014;57253;05/01/2009;Critical;1042;0,7;49;4,91;0,08;39
3103;22243;15/01/2009;Critical;25;0,56;9;2,88;0,09;51
8015;57253;05/01/2009;Critical;825;0,55;25;125,99;0,04;39
7734;55392;06/06/2009;Critical;26;0,54;39;2,84;0,07;52
2847;20513;07/07/2009;Alto;26;0,54;13;2,84;0,01;53
47;290;05/01/2009;No Especificado;250;0,36;24;7,64;0,05;54
7356;52416;31/01/2009;No Especificado;250;0,36;6;7,64;0,05;55
4221;29988;12/06/2009;Alto;27;0,38;12;449,99;0,06;56
1232;8997;01/07/2009;Bajo;27;0,38;40;449,99;0,04;57
4555;32418;05/01/2009;No Especificado;131;0,55;5;243,98;0,08;58
1047;7719;21/03/2009;Bajo;28;0,59;37;13,48;0,02;57
164;1028;05/01/2009;Alto;398;0,4;6;28,48;0,03;59
3184;22851;01/03/2009;Critical;398;0,4;25;28,48;0,09;60
7624;54560;16/07/2009;Critical;398;0,4;22;28,48;0,09;61
5499;38982;17/07/2009;No Especificado;398;0,4;43;28,48;0,09;62
165;1028;05/01/2009;Alto;560;0,59;11;205,99;0,01;59
5823;41316;21/07/2009;No Especificado;560;0,59;4;205,99;0;63
3849;27460;12/05/2009;No Especificado;30;0,75;31;5,98;0,04;64
3981;28451;05/01/2009;Critical;105;0,59;21;194,3;0,01;65
2986;21572;13/02/2009;Critical;105;0,59;42;194,3;0,03;66
3927;28001;14/06/2009;Critical;105;0,59;21;194,3;0,01;67
2555;18496;15/05/2009;Alto;31;0,36;29;40,99;0,01;27
3982;28451;05/01/2009;Critical;932;0,59;41;209,84;0,02;65
3926;28001;14/06/2009;Critical;932;0,59;41;209,84;0,02;67
2073;14823;12/02/2009;Bajo;32;0,38;15;7,31;0,1;68
3983;28451;05/01/2009;Critical;128;0,56;33;145,45;0;65
1894;13602;13/01/2009;Bajo;128;0,56;3;145,45;0,03;69
5919;41988;04/02/2009;Bajo;128;0,56;33;145,45;0,08;40
7795;55776;22/03/2009;No Especificado;128;0,56;32;145,45;0,01;70
8261;59072;25/05/2009;No Especificado;33;0,81;2;20,99;0,06;71
6731;47938;24/06/2009;Bajo;33;0,81;17;20,99;0,09;72
8291;59232;05/01/2009;Alto;38;0,4;23;30,98;0;73
1482;10661;23/01/2009;No Especificado;38;0,4;42;30,98;0,07;74
7352;52386;05/01/2009;Alto;365;0,38;6;120,97;0,08;75
7549;54019;01/07/2009;Bajo;365;0,38;35;120,97;0,08;53
1817;13030;22/07/2009;Medio;36;0,37;32;3,89;0,09;76
6773;48226;06/01/2009;Bajo;554;0,62;23;100,98;0,02;77
4638;32999;14/04/2009;Bajo;554;0,62;14;100,98;0,09;78
5845;41474;20/04/2009;No Especificado;554;0,62;35;100,98;0;79
2897;20903;20/05/2009;Alto;554;0,62;4;100,98;0,04;8
2816;20322;28/06/2009;Critical;554;0,62;46;100,98;0,09;80
8102;57827;02/07/2009;Medio;554;0,62;24;100,98;0,05;81
3027;21766;01/06/2009;Alto;37;0,64;41;120,98;0,03;82
2001;14274;06/01/2009;No Especificado;571;0,74;23;150,98;0,01;83
2002;14274;06/01/2009;No Especificado;159;0,58;46;28,28;0,01;83
6332;44867;26/07/2009;Alto;39;0,6;40;500,98;0,01;84
2003;14274;06/01/2009;No Especificado;838;0,55;2;35,99;0,03;83
1139;8295;01/04/2009;Alto;838;0,55;30;35,99;0,09;85
244;1665;07/05/2009;Alto;838;0,55;26;35,99;0,05;86
6936;49505;21/01/2009;Critical;40;0,35;12;7,84;0,04;87
5042;35936;21/01/2009;Medio;40;0,35;41;7,84;0,08;88
4377;31174;26/03/2009;No Especificado;40;0,35;29;7,84;0,03;14
3283;23488;06/01/2009;Alto;432;0,56;29;3,28;0,03;89
6898;49216;19/03/2009;Alto;432;0,56;28;3,28;0,01;90
2890;20838;10/04/2009;No Especificado;432;0,56;5;3,28;0,05;21
2874;20711;19/01/2009;Critical;41;0,37;5;18,97;0,1;91
4849;34498;15/02/2009;Bajo;41;0,37;3;18,97;0,09;92
7183;51266;25/03/2009;No Especificado;41;0,37;30;18,97;0,01;93
4968;35361;06/04/2009;Medio;41;0,37;40;18,97;0,09;94
3284;23488;06/01/2009;Critical;186;0,62;30;880,98;0,04;95
1909;13636;22/01/2009;Bajo;186;0,62;32;880,98;0,02;96
5794;41094;06/01/2009;Bajo;650;0,37;46;6,48;0,09;97
694;4839;09/05/2009;Critical;650;0,37;24;6,48;0,05;98
4321;30785;03/07/2009;Alto;650;0,37;7;6,48;0,03;99
2668;19299;18/03/2009;No Especificado;43;0,36;10;2,88;0,05;38
5795;41094;06/01/2009;Bajo;543;0,84;6;20,34;0,05;97
4725;33635;12/07/2009;Alto;543;0,84;4;20,34;0,07;100
1182;8646;09/04/2009;Alto;44;0,6;8;4,48;0,03;101
4681;33317;11/05/2009;Alto;44;0,6;35;4,48;0,08;102
5877;41696;13/07/2009;No Especificado;44;0,6;45;4,48;0,03;103
3325;23778;13/07/2009;Bajo;44;0,6;13;4,48;0,06;104
2325;16770;06/01/2009;Critical;1169;0,57;17;2,1;0,03;14
3330;23808;07/02/2009;Bajo;45;0,58;28;125,99;0,08;105
2041;14530;06/04/2009;Alto;45;0,58;44;125,99;0,01;106
733;5283;03/06/2009;Medio;45;0,58;23;125,99;0,03;107
2350;16961;06/01/2009;No Especificado;738;0,51;27;1,7;0,06;108
8321;59459;04/02/2009;Medio;738;0,51;40;1,7;0,07;109
7719;55300;20/02/2009;Alto;46;0,37;48;3,75;0,01;98
2351;16961;06/01/2009;No Especificado;1163;0,4;34;30,98;0,01;108
947;6854;06/01/2009;Medio;675;0,35;1;7,68;0,07;3
735;5316;30/01/2009;Critical;48;0,42;42;31,78;0,1;110
4778;33923;07/01/2009;Bajo;424;0,58;34;65,99;0,05;111
4540;32295;07/01/2009;Alto;424;0,58;11;65,99;0,07;65
7501;53511;20/02/2009;Medio;51;0,55;49;9,65;0,04;112
2538;18405;07/01/2009;Medio;353;0,37;30;20,98;0,09;113
8038;57412;13/07/2009;Bajo;52;0,6;34;7,99;0,06;114
2539;18405;07/01/2009;Medio;645;0,65;2;73,98;0,03;113
4662;33217;12/03/2009;Alto;645;0,65;20;73,98;0,1;115
1733;12450;12/03/2009;No Especificado;645;0,65;15;73,98;0;116
3084;22118;18/01/2009;Alto;53;0,38;50;58,1;0,05;117
1766;12642;27/04/2009;Critical;53;0,38;10;58,1;0,09;118
450;3073;07/01/2009;Medio;1158;0,4;3;1,98;0,05;119
451;3073;07/01/2009;Medio;288;0,41;3;699,99;0,07;119
7537;53891;22/01/2009;Alto;55;0,67;44;92,23;0,02;120
3018;21703;02/03/2009;No Especificado;55;0,67;20;92,23;0,03;121
452;3073;07/01/2009;Medio;1159;0,39;7;6783,02;0,07;119
5213;37095;10/03/2009;Bajo;1159;0,39;3;6783,02;0,09;88
4190;29766;21/03/2009;Medio;1159;0,39;13;6783,02;0;122
3394;24193;14/03/2009;No Especificado;56;0,85;19;85,99;0,04;123
61;355;13/06/2009;Bajo;56;0,85;16;85,99;0;124
5733;40704;07/01/2009;Bajo;265;0,56;6;1,76;0,01;125
3988;28480;15/03/2009;Medio;265;0,56;17;1,76;0,01;126
7491;53476;11/06/2009;No Especificado;265;0,56;47;1,76;0,01;127
853;6116;20/03/2009;Medio;58;0,81;6;1637,53;0,04;128
4234;30083;08/01/2009;No Especificado;720;0,58;23;14,56;0,07;26
998;7203;08/01/2009;Alto;320;0,38;25;896,99;0,03;46
6067;42981;30/05/2009;Critical;320;0,38;4;896,99;0,05;75
6845;48772;12/05/2009;Medio;60;0,37;11;6,48;0,01;129
6752;48096;12/06/2009;Alto;60;0,37;3;6,48;0,02;60
1172;8551;29/07/2009;Critical;60;0,37;34;6,48;0,01;130
611;4193;08/01/2009;Alto;370;0,39;16;4,13;0,07;131
3290;23524;28/04/2009;Alto;370;0,39;28;4,13;0,04;132
612;4193;08/01/2009;Alto;201;0,44;3;22,72;0,03;131
3086;22147;16/01/2009;Bajo;201;0,44;37;22,72;0,04;133
950;6884;15/01/2009;Bajo;62;0,36;41;4,98;0,01;134
6627;47138;09/01/2009;Bajo;719;0,59;1;125,99;0,04;135
4342;30915;16/01/2009;Bajo;719;0,59;25;125,99;0,01;136
1529;11013;17/04/2009;Alto;719;0,59;2;125,99;0,01;46
951;6884;15/01/2009;Bajo;63;0,39;47;6,35;0,04;134
2808;20261;20/05/2009;Medio;63;0,39;36;6,35;0,04;137
1173;8576;09/01/2009;Alto;375;0,59;43;11,66;0;138
2571;18561;09/01/2009;No Especificado;927;0,39;9;4,13;0,02;139
5287;37638;21/01/2009;Bajo;927;0,39;33;4,13;0,07;129
5120;36455;19/02/2009;Alto;65;0,54;48;39,48;0,03;140
989;7136;22/03/2009;Alto;65;0,54;17;39,48;0,07;141
4449;31715;09/01/2009;No Especificado;959;0,59;24;2,78;0,09;142
8105;57856;12/02/2009;Medio;959;0,59;31;2,78;0,02;143
3586;25574;12/03/2009;No Especificado;66;0,78;46;100,98;0;24
1597;11553;18/04/2009;Medio;66;0,78;8;100,98;0,07;144
3498;24933;26/07/2009;Bajo;66;0,78;32;100,98;0,01;21
4450;31715;09/01/2009;No Especificado;1134;0,36;11;5,38;0,01;142
4668;33220;15/04/2009;No Especificado;67;0,49;40;19,98;0,1;114
4451;31715;09/01/2009;No Especificado;434;0,56;44;3,28;0,05;142
2046;14596;10/01/2009;Critical;434;0,56;19;3,28;0,06;145
1811;12934;05/03/2009;No Especificado;434;0,56;27;3,28;0,02;146
5512;39078;23/06/2009;Bajo;434;0,56;10;3,28;0,07;79
261;1824;04/05/2009;Critical;68;0,3;39;276,2;0,06;147
5666;40097;09/01/2009;Bajo;271;0,58;47;2,6;0,1;148
3262;23360;11/05/2009;Bajo;69;0,38;30;15,67;0,01;74
796;5698;20/05/2009;Medio;69;0,38;7;15,67;0,06;149
7997;57153;26/05/2009;Critical;69;0,38;45;15,67;0,01;130
8161;58343;09/01/2009;No Especificado;342;0,4;39;3,29;0,07;150
6273;44391;10/01/2009;No Especificado;1122;0,37;16;6,48;0,02;22
5260;37441;24/02/2009;Critical;71;0,56;46;300,98;0;151
1884;13542;08/03/2009;Bajo;71;0,56;11;300,98;0,01;152
7716;55298;02/08/2009;Critical;71;0,56;1;300,98;0,01;103
2045;14596;10/01/2009;Critical;967;0,43;24;8,34;0,01;145
7742;55429;29/06/2009;Alto;73;0,37;43;6,48;0,09;153
4073;28999;10/01/2009;Alto;1090;0,45;34;33,98;0,02;154
6278;44448;13/04/2009;Critical;1090;0,45;28;33,98;0,02;155
3791;27013;05/07/2009;Bajo;74;0,81;28;80,98;0,05;156
7731;55367;10/01/2009;Critical;775;0,56;31;70,98;0,05;149
3949;28161;15/06/2009;No Especificado;775;0,56;10;70,98;0,02;35
1314;9635;13/04/2009;Critical;75;0,37;1;1,88;0,05;18
2494;18147;17/07/2009;No Especificado;75;0,37;42;1,88;0;157
4903;34882;24/07/2009;Critical;75;0,37;43;1,88;0,03;158
7732;55367;10/01/2009;Critical;776;0,55;48;11,55;0,05;149
6587;46884;17/01/2009;Medio;776;0,55;25;11,55;0,1;159
3964;28290;10/01/2009;Bajo;253;0,74;43;30,42;0,05;160
5104;36358;13/05/2009;No Especificado;253;0,74;28;30,42;0,06;54
3965;28290;10/01/2009;Bajo;536;0,66;3;161,55;0,01;160
5271;37510;08/03/2009;Critical;536;0,66;15;161,55;0,02;161
6663;47457;03/06/2009;Bajo;536;0,66;50;161,55;0,05;162
7059;50373;02/07/2009;Critical;536;0,66;9;161,55;0,06;6
7833;56002;04/07/2009;Bajo;536;0,66;9;161,55;0,05;34
7330;52227;12/02/2009;Medio;78;0,37;37;6,48;0,05;163
4097;29187;31/07/2009;Bajo;78;0,37;10;6,48;0;164
2775;20037;10/01/2009;Bajo;465;0,42;35;29,18;0,02;165
6774;48230;25/02/2009;No Especificado;465;0,42;39;29,18;0,04;166
2776;20037;10/01/2009;Bajo;593;0,57;49;297,64;0,03;165
4754;33797;11/01/2009;No Especificado;593;0,57;20;297,64;0,08;167
4787;33988;10/01/2009;Medio;240;0,79;30;5,02;0;168
4556;32420;29/07/2009;Medio;240;0,79;35;5,02;0,07;52
3411;24358;16/05/2009;Critical;81;0,8;27;279,48;0,07;109
3792;27013;05/07/2009;Bajo;81;0,8;26;279,48;0,05;156
4425;31553;10/01/2009;Critical;327;0,39;32;162,93;0,09;169
664;4647;13/05/2009;Medio;327;0,39;7;162,93;0,03;104
6202;43911;14/01/2009;Medio;82;0,57;23;320,98;0,06;48
2726;19655;11/01/2009;Alto;168;0,51;31;39,24;0,06;170
3040;21830;11/01/2009;Bajo;811;0,56;19;399,98;0,08;171
4595;32706;04/07/2009;Critical;811;0,56;5;399,98;0,03;40
8221;58784;18/01/2009;Medio;84;0,38;29;48,91;0,06;172
6106;43269;10/04/2009;Critical;84;0,38;16;48,91;0;173
4755;33797;11/01/2009;No Especificado;866;0,73;44;12,99;0,02;167
1849;13313;16/07/2009;No Especificado;866;0,73;18;12,99;0,02;134
6237;44197;20/01/2009;Alto;86;0,65;27;140,98;0,02;174
4756;33797;11/01/2009;No Especificado;801;0,52;18;14,42;0,06;167
2664;19234;24/01/2009;Alto;801;0,52;24;14,42;0,01;175
2937;21286;16/05/2009;Critical;801;0,52;17;14,42;0;176
184;1218;19/06/2009;No Especificado;801;0,52;3;14,42;0,1;177
3229;23170;21/05/2009;No Especificado;87;0,57;20;218,08;0,06;178
5793;41091;24/05/2009;Medio;87;0,57;32;218,08;0,1;179
4757;33797;11/01/2009;No Especificado;399;0,49;29;4,14;0,05;167
4758;33797;11/01/2009;No Especificado;120;0,36;18;11,34;0,03;167
1269;9222;10/02/2009;Alto;120;0,36;41;11,34;0,04;180
5324;37859;30/03/2009;Critical;120;0,36;2;11,34;0,01;181
2855;20549;12/01/2009;No Especificado;425;0,67;40;27,75;0,09;182
3237;23205;24/05/2009;Alto;90;0,75;26;262,11;0,02;183
1024;7461;12/01/2009;Bajo;1126;0,55;12;350,99;0,05;184
8223;58784;18/01/2009;Medio;1126;0,55;25;350,99;0,05;172
1183;8646;09/04/2009;Alto;1126;0,55;41;350,99;0,06;101
1025;7461;12/01/2009;Bajo;430;0,38;28;8,74;0;184
4848;34498;15/02/2009;Bajo;430;0,38;4;8,74;0,09;92
1885;13542;08/03/2009;Bajo;430;0,38;33;8,74;0,03;152
2488;18119;24/06/2009;Bajo;430;0,38;37;8,74;0;163
8242;58914;09/04/2009;Bajo;92;0,56;11;1,76;0,07;16
1026;7461;12/01/2009;Bajo;856;0,83;44;1,98;0,02;184
5504;39040;21/05/2009;Critical;856;0,83;7;1,98;0,04;185
5071;36131;17/05/2009;Alto;93;0,44;26;19,84;0,07;186
5327;37862;12/01/2009;No Especificado;326;0,57;27;59,98;0,01;47
1209;8868;28/01/2009;Bajo;326;0,57;3;59,98;0,02;187
6327;44834;20/04/2009;Medio;94;0,38;13;19,98;0,1;188
3901;27813;12/01/2009;Medio;860;0,74;10;40,98;0,1;189
2254;16229;29/03/2009;Alto;860;0,74;27;40,98;0,04;190
1184;8646;09/04/2009;Alto;860;0,74;26;40,98;0,09;101
6123;43362;12/01/2009;Critical;1074;0,35;33;1,68;0,04;19
4086;29127;31/03/2009;Critical;1074;0,35;18;1,68;0,06;191
5043;35936;21/01/2009;Medio;98;0,61;40;105,34;0,03;88
4576;32582;25/06/2009;No Especificado;98;0,61;27;105,34;0,07;192
1895;13602;13/01/2009;Bajo;791;0,37;13;48,04;0,02;69
1128;8257;22/03/2009;Bajo;791;0,37;18;48,04;0,02;11
7241;51623;13/01/2009;Critical;110;0,43;17;2,08;0,06;193
3185;22851;01/03/2009;Critical;110;0,43;13;2,08;0;60
1751;12544;03/03/2009;Bajo;110;0,43;34;2,08;0,08;194
5345;37987;03/07/2009;Alto;100;0,65;5;146,34;0,1;195
3582;25541;13/01/2009;Bajo;729;0,36;50;5,98;0,07;196
7535;53891;22/01/2009;Alto;101;0,36;36;15,22;0,02;120
4875;34691;14/01/2009;Critical;1023;0,58;27;7,77;0,08;197
4876;34691;14/01/2009;Critical;841;0,56;23;306,14;0,02;197
5534;39173;16/01/2009;Critical;103;0,74;2;179,29;0,05;198
1053;7776;14/03/2009;Medio;103;0,74;6;179,29;0,02;165
311;2150;02/06/2009;Medio;103;0,74;21;179,29;0,01;199
5813;41216;01/07/2009;No Especificado;103;0,74;45;179,29;0;200
4877;34691;14/01/2009;Critical;442;0,37;13;18,97;0,1;197
861;6179;02/06/2009;No Especificado;104;0,59;15;200,99;0;201
7541;53894;07/07/2009;Critical;104;0,59;29;200,99;0,02;33
1144;8325;14/01/2009;Critical;360;0,4;21;115,99;0,08;202
131;834;22/05/2009;Medio;360;0,4;15;115,99;0,01;203
1145;8325;14/01/2009;Critical;409;0,56;27;4,28;0,08;202
4294;30567;14/01/2009;No Especificado;409;0,56;14;4,28;0,02;9
1617;11712;26/04/2009;Bajo;409;0,56;9;4,28;0,06;204
4459;31781;16/01/2009;Medio;107;0,39;46;5,81;0,1;205
7500;53511;20/02/2009;Medio;107;0,39;41;5,81;0,07;112
5265;37447;08/07/2009;Bajo;107;0,39;23;5,81;0,02;206
6201;43911;14/01/2009;Medio;918;0,58;36;264,98;0;48
8276;59170;17/02/2009;Alto;108;0,38;5;1938,02;0,04;140
8229;58818;15/04/2009;Critical;109;0,59;20;226,67;0,1;207
4292;30567;14/01/2009;No Especificado;891;0,4;8;90,48;0,07;9
1415;10272;17/01/2009;Medio;891;0,4;3;90,48;0,03;208
5452;38721;24/03/2009;Critical;891;0,4;15;90,48;0,05;12
3855;27491;09/04/2009;No Especificado;891;0,4;11;90,48;0,04;209
2517;18279;26/02/2009;Medio;111;0,36;20;499,99;0,03;210
4293;30567;14/01/2009;No Especificado;728;0,45;3;9,48;0,01;9
5313;37794;24/03/2009;Bajo;728;0,45;6;9,48;0,08;211
3958;28256;23/02/2009;Alto;112;0,78;19;20,98;0,01;212
7543;53920;18/03/2009;Critical;112;0,78;18;20,98;0,05;213
8084;57666;22/05/2009;No Especificado;112;0,78;44;20,98;0,1;214
1781;12771;17/01/2009;Critical;113;0,39;40;30,53;0,08;215
623;4321;17/07/2009;Medio;113;0,39;47;30,53;0,02;65
6849;48773;15/01/2009;Medio;136;0,38;7;7,04;0,06;216
1782;12771;17/01/2009;Critical;114;0,59;46;1,68;0,01;215
2632;19047;28/01/2009;Alto;114;0,59;3;1,68;0,02;217
6132;43399;30/07/2009;Alto;114;0,59;35;1,68;0,05;15
6673;47493;11/02/2009;Critical;115;0,77;36;270,98;0,07;195
5297;37729;15/01/2009;No Especificado;688;0,38;48;8,6;0;218
4501;32037;16/02/2009;Bajo;688;0,38;37;8,6;0,04;219
347;2373;11/03/2009;No Especificado;688;0,38;36;8,6;0,06;177
8348;59681;11/06/2009;Critical;688;0,38;23;8,6;0,02;154
1769;12676;15/01/2009;Alto;1197;0,49;25;8,09;0,08;220
5639;39904;02/02/2009;No Especificado;1197;0,49;44;8,09;0;221
879;6310;03/05/2009;No Especificado;1197;0,49;27;8,09;0,08;222
1848;13313;16/07/2009;No Especificado;117;0,52;47;21,66;0,04;134
3554;25347;12/06/2009;Bajo;119;0,38;28;35,44;0,07;223
1850;13313;16/07/2009;No Especificado;119;0,38;22;35,44;0,05;134
5533;39173;16/01/2009;Critical;306;0,52;36;2,18;0,09;198
1816;13028;08/04/2009;Critical;121;0,38;39;35,44;0,05;224
7489;53476;11/06/2009;No Especificado;121;0,38;14;35,44;0,04;127
6941;49541;16/01/2009;Medio;822;0,57;35;13,43;0;225
5921;41988;04/02/2009;Bajo;822;0,57;14;13,43;0,1;40
820;5921;06/04/2009;Bajo;822;0,57;27;13,43;0,01;226
2040;14530;06/04/2009;Alto;822;0,57;49;13,43;0,1;106
7821;55909;19/05/2009;Bajo;822;0,57;2;13,43;0,03;227
345;2370;16/01/2009;Critical;426;0,69;6;110,98;0,02;228
346;2370;16/01/2009;Critical;552;0,4;30;8,01;0,01;228
8219;58759;21/01/2009;Bajo;552;0,4;4;8,01;0,1;229
6867;48931;17/06/2009;Bajo;125;0,6;33;20,95;0;230
3384;24132;06/07/2009;Bajo;125;0,6;22;20,95;0,04;144
2357;16999;19/01/2009;Critical;126;0,55;18;207,48;0,09;183
142;902;26/07/2009;No Especificado;126;0,55;10;207,48;0,09;130
4460;31781;16/01/2009;Medio;262;0,52;41;1,81;0,03;205
4341;30915;16/01/2009;Bajo;1194;0,57;20;2,98;0,04;136
278;1921;17/01/2009;Medio;898;0,57;24;328,14;0,05;111
3847;27456;10/04/2009;No Especificado;898;0,57;29;328,14;0,05;231
4018;28736;21/04/2009;Alto;130;0,36;26;40,99;0,06;116
6158;43620;17/01/2009;Medio;534;0,43;13;14,81;0,05;232
5693;40258;09/04/2009;No Especificado;534;0,43;31;14,81;0,05;233
6159;43620;17/01/2009;Medio;1046;0,36;11;4,2;0,05;232
2619;18945;17/01/2009;Medio;669;0,42;33;16,48;0,06;234
1581;11426;07/05/2009;Medio;669;0,42;19;16,48;0,01;235
6406;45539;02/08/2009;No Especificado;669;0,42;15;16,48;0,02;36
7914;56581;08/02/2009;Alto;135;0,65;20;105,98;0,1;236
1416;10272;17/01/2009;Medio;1093;0,39;26;22,84;0,06;208
4847;34497;10/03/2009;Medio;1093;0,39;25;22,84;0;237
7747;55459;25/04/2009;Critical;1093;0,39;5;22,84;0;27
6937;49505;21/01/2009;Critical;137;0,43;34;9,78;0,04;87
7333;52258;10/02/2009;Bajo;138;0,55;5;12,22;0,04;238
7932;56677;11/04/2009;Alto;138;0,55;35;12,22;0;239
6585;46884;17/01/2009;Medio;882;0,36;18;7,64;0,1;159
8054;57504;04/08/2009;No Especificado;882;0,36;44;7,64;0,01;240
7137;50917;21/07/2009;Bajo;139;0,44;33;43,98;0,02;98
6586;46884;17/01/2009;Medio;1263;0,59;3;125,99;0;159
4612;32868;17/01/2009;No Especificado;1187;0,55;39;28,15;0,05;241
6324;44772;31/03/2009;No Especificado;141;0,83;1;55,99;0,07;242
5417;38503;05/05/2009;Bajo;141;0,83;10;55,99;0,02;243
5503;39040;21/05/2009;Critical;141;0,83;26;55,99;0,03;185
3118;22402;27/05/2009;Critical;141;0,83;1;55,99;0,01;7
6604;46981;07/02/2009;Medio;143;0,35;46;30,56;0,07;244
8151;58279;11/04/2009;Medio;143;0,35;44;30,56;0,03;122
3567;25445;25/05/2009;Bajo;143;0,35;48;30,56;0,08;245
2283;16451;22/07/2009;No Especificado;143;0,35;9;30,56;0,09;246
8224;58784;18/01/2009;Medio;367;0,49;20;15,99;0,04;172
8220;58784;18/01/2009;Medio;189;0,35;12;11,58;0,02;172
6876;48998;16/02/2009;Bajo;189;0,35;15;11,58;0,04;247
665;4647;13/05/2009;Medio;189;0,35;6;11,58;0,01;104
1382;10048;15/05/2009;No Especificado;145;0,83;21;3,68;0,02;248
4986;35461;01/06/2009;Critical;145;0,83;30;3,68;0,04;125
5141;36647;30/06/2009;Alto;145;0,83;16;3,68;0,09;52
